,Prefecture,Prefecture.1,Capital,Capital.1,Region,Major Island,Population(2022),Area(km2)[15],Density(per km2),Distr.,Municipalities,ISO,Areacode
35,Shiga,滋賀県,Ōtsu,大津市,Kansai,Honshū,1409000,4017.38,351.9,3,19,JP-25,077
36,Shimane,島根県,Matsue,松江市,Chūgoku,Honshū,664000,6707.89,100.1,5,19,JP-32,085
37,Shizuoka,静岡県,Shizuoka,静岡市,Chūbu,Honshū,3629000,7777.35,467.2,5,35,JP-22,054
38,Tochigi,栃木県,Utsunomiya,宇都宮市,Kantō,Honshū,1925000,6408.09,301.7,5,26,JP-09,028
39,Tokushima,徳島県,Tokushima,徳島市,Shikoku,Shikoku,722000,4146.75,173.5,8,24,JP-36,088
40,Tōkyō,東京都,Tōkyō[16],新宿区,Kantō,Honshū,13995000,2194.03,6402.6,1,39,JP-13,03x042
41,Tottori,鳥取県,Tottori,鳥取市,Chūgoku,Honshū,561000,3507.14,157.8,5,19,JP-31,085
42,Toyama,富山県,Toyama,富山市,Chūbu,Honshū,995000,4247.58,243.6,2,15,JP-16,076
43,Wakayama,和歌山県,Wakayama,和歌山市,Kansai,Honshū,906000,4724.65,195.3,6,30,JP-30,075
44,Yamagata,山形県,Yamagata,山形市,Tōhoku,Honshū,1058000,9323.15,114.6,8,35,JP-06,023
45,Yamaguchi,山口県,Yamaguchi,山口市,Chūgoku,Honshū,1336000,6112.54,219.6,4,19,JP-35,083
46,Yamanashi,山梨県,Kōfu,甲府市,Chūbu,Honshū,813000,4465.27,181.4,5,27,JP-19,055
